Image_name,Plane,Train
00000-2671683618,Fetal abdomen,1
00001-2671683619,Fetal abdomen,1
00002-2671683620,Fetal abdomen,1
00003-2671683621,Fetal abdomen,1
00004-2671683622,Fetal abdomen,1
00005-2671683623,Fetal abdomen,1
00006-2671683624,Fetal abdomen,1
00007-2671683625,Fetal abdomen,1
00008-2671683626,Fetal abdomen,1
00009-2671683627,Fetal abdomen,1
00010-2671683628,Fetal abdomen,1
00011-2671683629,Fetal abdomen,1
00012-2671683630,Fetal abdomen,1
00013-2671683631,Fetal abdomen,1
00014-2671683632,Fetal abdomen,1
00015-2671683633,Fetal abdomen,1
00016-2671683634,Fetal abdomen,1
00017-2671683635,Fetal abdomen,1
00018-2671683636,Fetal abdomen,1
00019-2671683637,Fetal abdomen,1
00020-2671683638,Fetal abdomen,1
00021-2671683639,Fetal abdomen,1
00022-2671683640,Fetal abdomen,1
00023-2671683641,Fetal abdomen,1
00024-2671683642,Fetal abdomen,1
00025-2671683643,Fetal abdomen,1
00026-2671683644,Fetal abdomen,1
00027-2671683645,Fetal abdomen,1
00028-2671683646,Fetal abdomen,1
00029-2671683647,Fetal abdomen,1
00030-2671683648,Fetal abdomen,1
00031-2671683649,Fetal abdomen,1
00032-2671683650,Fetal abdomen,1
00033-2671683651,Fetal abdomen,1
00034-2671683652,Fetal abdomen,1
00035-2671683653,Fetal abdomen,1
00036-2671683654,Fetal abdomen,1
00037-2671683655,Fetal abdomen,1
00038-2671683656,Fetal abdomen,1
00039-2671683657,Fetal abdomen,1
00040-2671683658,Fetal abdomen,1
00041-2671683659,Fetal abdomen,1
00042-2671683660,Fetal abdomen,1
00043-2671683661,Fetal abdomen,1
00044-2671683662,Fetal abdomen,1
00045-2671683663,Fetal abdomen,1
00046-2671683664,Fetal abdomen,1
00047-2671683665,Fetal abdomen,1
00048-2671683666,Fetal abdomen,1
00049-2671683667,Fetal abdomen,1
00050-2671683668,Fetal abdomen,1
00051-2671683669,Fetal abdomen,1
00052-2671683670,Fetal abdomen,1
00053-2671683671,Fetal abdomen,1
00054-2671683672,Fetal abdomen,1
00055-2671683673,Fetal abdomen,1
00056-2671683674,Fetal abdomen,1
00057-2671683675,Fetal abdomen,1
00058-2671683676,Fetal abdomen,1
00059-2671683677,Fetal abdomen,1
00060-2671683678,Fetal abdomen,1
00061-2671683679,Fetal abdomen,1
00062-2671683680,Fetal abdomen,1
00063-2671683681,Fetal abdomen,1
00064-2671683682,Fetal abdomen,1
00065-2671683683,Fetal abdomen,1
00066-2671683684,Fetal abdomen,1
00067-2671683685,Fetal abdomen,1
00068-2671683686,Fetal abdomen,1
00069-2671683687,Fetal abdomen,1
00070-2671683688,Fetal abdomen,1
00071-2671683689,Fetal abdomen,1
00072-2671683690,Fetal abdomen,1
00073-2671683691,Fetal abdomen,1
00074-2671683692,Fetal abdomen,1
00075-2671683693,Fetal abdomen,1
00076-2671683694,Fetal abdomen,1
00077-2671683695,Fetal abdomen,1
00078-2671683696,Fetal abdomen,1
00079-2671683697,Fetal abdomen,1
00080-2671683698,Fetal abdomen,1
00081-2671683699,Fetal abdomen,1
00082-2671683700,Fetal abdomen,1
00083-2671683701,Fetal abdomen,1
00084-2671683702,Fetal abdomen,1
00085-2671683703,Fetal abdomen,1
00086-2671683704,Fetal abdomen,1
00087-2671683705,Fetal abdomen,1
00088-2671683706,Fetal abdomen,1
00089-2671683707,Fetal abdomen,1
00090-2671683708,Fetal abdomen,1
00091-2671683709,Fetal abdomen,1
00092-2671683710,Fetal abdomen,1
00093-2671683711,Fetal abdomen,1
00094-2671683712,Fetal abdomen,1
00095-2671683713,Fetal abdomen,1
00096-2671683714,Fetal abdomen,1
00097-2671683715,Fetal abdomen,1
00098-2671683716,Fetal abdomen,1
00099-2671683717,Fetal abdomen,1
00100-2743074756,Fetal abdomen,1
00101-2743074757,Fetal abdomen,1
00102-2743074758,Fetal abdomen,1
00103-2743074759,Fetal abdomen,1
00104-2743074760,Fetal abdomen,1
00105-2743074761,Fetal abdomen,1
00106-2743074762,Fetal abdomen,1
00107-2743074763,Fetal abdomen,1
00108-2743074764,Fetal abdomen,1
00109-2743074765,Fetal abdomen,1
00110-2743074766,Fetal abdomen,1
00111-2743074767,Fetal abdomen,1
00112-2743074768,Fetal abdomen,1
00113-2743074769,Fetal abdomen,1
00114-2743074770,Fetal abdomen,1
00115-2743074771,Fetal abdomen,1
00116-2743074772,Fetal abdomen,1
00117-2743074773,Fetal abdomen,1
00118-2743074774,Fetal abdomen,1
00119-2743074775,Fetal abdomen,1
00120-2743074776,Fetal abdomen,1
00121-2743074777,Fetal abdomen,1
00122-2743074778,Fetal abdomen,1
00123-2743074779,Fetal abdomen,1
00124-2743074780,Fetal abdomen,1
00125-2743074781,Fetal abdomen,1
00126-2743074782,Fetal abdomen,1
00127-2743074783,Fetal abdomen,1
